156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,128,129,130,130,130,130,130,130,130,130,135,130,130,136,156,156,156,156
156,156,156,144,145,146,146,131,146,146,146,132,213,151,146,146,152,156,156,156,156
156,156,156,160,161,162,162,147,133,133,149,148,134,167,166,166,168,156,156,156,156
156,156,156,176,142,143,166,163,164,164,165,164,150,166,166,166,184,156,156,156,156
156,156,156,176,166,166,166,166,166,166,166,166,166,166,166,166,184,156,156,156,156
156,156,156,176,166,166,166,166,166,166,166,166,166,166,166,166,184,156,156,156,156
156,156,156,176,166,166,166,166,166,166,166,166,166,143,157,158,184,156,156,156,156
156,156,156,176,166,166,166,166,166,166,166,166,166,142,173,174,184,156,156,156,156
156,156,156,140,166,166,166,166,166,138,139,166,166,166,142,143,137,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
