6,7,6,7,6,7,6,7,18,96,98,18,6,7,6,7,6,7,6,7,156
22,23,22,23,22,23,22,23,18,96,98,18,22,23,22,23,22,23,22,23,156
38,39,38,39,38,39,38,39,18,96,98,18,38,39,38,39,38,39,38,39,156
22,23,22,23,22,23,22,23,18,96,98,18,22,23,22,23,22,23,22,23,156
38,39,38,39,38,39,38,39,18,112,114,18,38,39,38,39,38,39,38,39,156
22,23,22,23,22,23,22,23,1,0,0,2,22,23,22,23,22,23,22,23,156
38,39,38,39,38,39,38,39,0,6,7,0,38,39,38,39,38,39,38,39,156
22,23,22,23,22,23,22,23,2,22,23,1,22,23,22,23,22,23,22,23,156
38,39,38,39,38,39,38,39,0,36,37,0,36,37,36,37,36,37,38,39,156
22,23,22,23,22,23,22,23,2,0,1,0,2,0,1,0,0,0,22,23,156
38,39,38,39,38,39,38,39,6,7,6,7,6,7,6,7,17,0,38,39,156
22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,0,0,22,23,156
38,39,38,39,38,39,38,39,36,37,36,37,36,37,36,37,0,0,38,39,156
22,23,22,23,22,23,22,23,0,0,0,0,1,2,1,2,0,0,22,23,156
38,39,38,39,38,39,38,39,16,16,6,7,6,7,6,7,6,7,38,39,156
22,23,22,23,22,23,22,23,16,16,22,23,22,23,22,23,22,23,22,23,156
38,39,38,39,38,39,36,37,0,0,36,37,38,39,38,39,38,39,38,39,156
22,23,22,23,22,23,0,0,0,0,0,0,22,23,22,23,22,23,22,23,156
38,39,38,39,36,37,0,16,16,6,7,0,36,37,38,39,38,39,38,39,156
22,23,22,23,0,0,0,16,16,22,23,0,0,0,22,23,22,23,22,23,156
38,39,36,37,16,16,6,7,0,36,37,0,0,0,36,37,38,39,38,39,156
22,23,0,0,16,16,22,23,0,17,6,7,16,16,0,0,22,23,22,23,156
38,39,6,7,16,16,36,37,0,0,22,23,16,16,6,7,38,39,38,39,156
22,23,22,23,16,16,0,0,0,0,36,37,0,0,22,23,22,23,22,23,156
38,39,38,39,6,7,0,16,16,16,0,0,6,7,38,39,38,39,38,39,156
22,23,22,23,22,23,0,16,16,16,0,0,22,23,22,23,22,23,22,23,156
38,39,38,39,36,37,0,0,6,7,6,7,38,39,38,39,38,39,38,39,156
22,23,22,23,0,0,0,0,22,23,22,23,22,23,22,23,22,23,22,23,156
38,39,36,37,0,16,16,0,36,37,38,39,38,39,38,39,38,39,38,39,156
22,23,1,2,0,16,16,0,0,0,22,23,22,23,22,23,22,23,22,23,156
38,39,6,7,6,7,0,17,0,0,36,37,38,39,38,39,38,39,38,39,156
22,23,22,23,22,23,0,0,16,16,16,0,22,23,22,23,22,23,22,23,156
38,39,38,39,38,39,6,7,16,16,16,0,36,37,38,39,38,39,38,39,156
22,23,22,23,22,23,22,23,0,0,17,0,0,0,22,23,22,23,22,23,156
38,39,38,39,38,39,38,39,6,7,0,16,16,16,36,37,38,39,38,39,156
22,23,22,23,22,23,22,23,22,23,0,16,16,16,0,0,22,23,22,23,156
38,39,38,39,38,39,38,39,38,39,6,7,0,17,0,0,36,37,36,37,156
22,23,22,23,22,23,22,23,22,23,22,23,0,0,0,0,0,0,0,0,156
36,37,36,37,36,37,36,37,36,37,36,37,0,0,0,0,0,0,0,0,156
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,0,0,156
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,69,16,16,156
33,33,33,33,33,33,33,33,33,33,34,49,49,49,49,49,50,69,16,16,156
33,33,33,33,33,33,33,33,33,34,50,35,49,50,201,201,66,69,16,16,156
49,32,33,34,49,49,49,49,49,50,50,49,49,50,49,49,49,69,16,16,156
32,48,49,50,34,49,50,201,201,66,50,49,49,50,201,201,201,71,16,16,156
48,64,214,66,50,49,50,49,49,49,50,49,35,69,0,1,2,1,2,0,156
64,65,230,65,66,49,50,201,201,65,66,49,49,69,0,1,17,17,2,0,156
49,49,49,49,49,49,50,49,49,49,49,49,49,69,0,2,1,2,1,0,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
